episode,coverage,steps,active_uavs,total_spots,total_reward,efficiency,success,timestamp
10,0.0,0,3,0,0,0.0,False,2025-07-14T13:46:37.733957
20,0.0,0,3,0,0,0.0,False,2025-07-14T13:46:57.241750
30,0.0,0,3,0,0,0.0,False,2025-07-14T13:47:21.147212
40,0.0,0,3,0,0,0.0,False,2025-07-14T13:47:42.085214
50,0.0,0,3,0,0,0.0,False,2025-07-14T13:48:05.811350
60,0.0,0,3,0,0,0.0,False,2025-07-14T13:48:25.907671
70,0.0,0,3,0,0,0.0,False,2025-07-14T13:48:49.364527
80,0.0,0,3,0,0,0.0,False,2025-07-14T13:49:10.091475
90,0.0,0,3,0,0,0.0,False,2025-07-14T13:49:31.601488
100,0.0,0,3,0,0,0.0,False,2025-07-14T13:49:56.766965
