ID,source_time,lat,lon,source_spotted,track,takeoff_landing_time,battery,AoI,FLA
UAV0_0,1,52.815735789399945,-4.132654150920279,0,7,1,99.5,4,1
UAV1_1,1,52.81693388689773,-4.132627289674718,1,22,1,98.0,0,2
UAV2_2,1,52.81598894710017,-4.132128582111374,1,-2,1,98.0,5,5
UAV0_3,2,52.81676125460366,-4.134056954199457,0,-36,2,97.5,0,3
UAV1_4,2,52.81593748096384,-4.131681339863239,1,-57,2,96.0,4,2
UAV0_5,4,52.81467718228484,-4.131463886206012,1,-72,4,93.5,0,1
UAV1_6,5,52.81687857336143,-4.131208724953307,1,82,5,91.5,2,2
UAV1_7,6,52.816948225230824,-4.132983002300781,1,-69,6,89.5,4,3
UAV2_8,7,52.81612292876678,-4.131908174006463,1,-25,7,92.0,4,5
UAV0_9,8,52.81575397839954,-4.1311319668485424,1,-28,8,87.0,4,4
UAV1_10,8,52.8155142749515,-4.132491199642609,0,-49,8,87.0,2,3
UAV2_11,8,52.81550557286828,-4.131105816440122,1,31,8,90.0,3,2
UAV0_12,9,52.81515298615365,-4.13136491545367,1,86,9,85.0,3,1
UAV2_13,9,52.81566743451428,-4.131764364127136,1,53,9,88.0,0,4
UAV0_14,10,52.81737005264286,-4.130443914997978,1,21,10,83.0,1,3
UAV2_15,10,52.8165082001059,-4.1322648415698655,0,79,10,86.0,0,5
UAV0_16,11,52.816202044474814,-4.131965234626343,1,-35,11,81.0,1,1
UAV1_17,11,52.815912837270446,-4.132844109387966,0,-26,11,84.0,2,5
UAV1_18,12,52.81679433974084,-4.133636734883745,1,73,12,82.0,1,3
UAV1_19,13,52.81501436054304,-4.1319027982972525,0,33,13,80.0,0,1
UAV0_20,15,52.8177460914981,-4.131356414783896,1,64,15,77.5,1,5
UAV0_21,16,52.81567489224788,-4.129990838746287,1,-37,16,75.5,4,3
UAV2_22,16,52.815194557469695,-4.130370529815296,1,-27,16,74.0,1,5
UAV2_23,17,52.81727660430684,-4.131123120078121,0,79,17,72.0,1,1
UAV1_24,18,52.81643301695816,-4.131562486265416,1,-10,18,73.0,1,5
UAV2_25,18,52.815568899598155,-4.13076516314816,1,-77,18,70.0,4,4
UAV1_26,19,52.81669878058794,-4.132390657538864,1,39,19,71.0,1,3
UAV1_27,20,52.816283095563044,-4.130487750770312,0,26,20,69.0,2,2
UAV1_28,21,52.81624110523626,-4.131588392511928,0,81,21,67.0,3,2
UAV2_29,21,52.814987023520274,-4.134183078630136,1,-18,21,64.0,1,2
UAV1_30,22,52.816308040629465,-4.130506331319171,0,-20,22,65.0,0,5
UAV1_31,26,52.81400780862285,-4.132160969950102,1,-69,26,58.5,0,4
UAV1_32,27,52.81640886394385,-4.132177468873089,1,-73,27,56.5,4,3
UAV1_33,29,52.81613596077619,-4.130549746293853,0,30,29,54.0,2,4
UAV1_34,30,52.81569442797736,-4.132180555319121,1,22,30,52.0,0,3
UAV0_35,33,52.81563157826797,-4.132445392088508,0,-28,33,53.5,0,2
UAV0_36,34,52.81547156571445,-4.131141308132202,1,-58,34,51.5,0,4
UAV1_37,34,52.816590161496855,-4.131369251605118,1,41,34,45.5,3,1
UAV2_38,35,52.81745402360975,-4.130912301238204,0,-1,35,40.5,4,4
UAV0_39,36,52.81712384954477,-4.132013009117486,1,-19,36,47.5,5,2
UAV2_40,36,52.81556384041937,-4.133443434184597,1,12,36,38.5,0,5
UAV0_41,37,52.817332461872184,-4.1300219574322155,1,54,37,45.5,5,5
UAV1_42,37,52.81611042034855,-4.134201872436246,0,-42,37,41.0,0,3
UAV0_43,41,52.815409748875894,-4.130623287233254,1,-76,41,37.5,5,1
UAV1_44,41,52.81743280734473,-4.130536027688023,0,-25,41,37.5,3,1
UAV0_45,43,52.8162358640383,-4.130650685561831,1,-47,43,35.0,5,2
UAV2_46,43,52.81667587980218,-4.132253107922528,1,46,43,24.5,4,4
UAV1_47,44,52.81411437710824,-4.133916537087178,1,-17,44,34.5,3,2
UAV0_48,45,52.816709250601576,-4.132065654392217,1,-80,45,32.5,0,4
UAV2_49,45,52.81501832470904,-4.131489495140741,1,55,45,20.5,5,3
UAV2_50,46,52.816610359670406,-4.130663490666119,1,-51,46,18.5,5,5
UAV0_51,48,52.816331705251635,-4.1304288064482675,0,90,48,28.0,2,4
UAV1_52,48,52.815921551196745,-4.130270583121585,1,79,48,28.0,3,1
UAV2_53,48,52.81707228883711,-4.132335417703637,1,8,48,14.5,5,5
UAV2_54,50,52.81705840266852,-4.130008388694589,0,13,50,12.0,2,2
UAV1_55,51,52.817037093292996,-4.131540622650236,0,43,51,22.0,2,3
UAV2_56,52,52.81618278578373,-4.1296472222675495,1,-35,52,9.5,2,2
UAV2_57,53,52.81532793089439,-4.131060225692455,1,-58,53,7.5,2,3
UAV2_58,55,52.816359017700975,-4.1318761714126815,1,-49,55,3.5,0,4
UAV2_59,57,52.817579210865794,-4.1332930157336865,0,63,57,1.0,5,2
UAV1_60,60,52.8170128899872,-4.131853882521726,1,39,60,10.0,2,3
UAV0_61,63,52.816689839495425,-4.131858116229577,1,57,63,2.5,0,5
UAV0_62,64,52.815375492846,-4.132853748238121,0,-62,64,0.5,3,4
UAV0_63,65,52.81630968064036,-4.131412062753999,0,57,65,-1.5,1,1
UAV0_0,1,52.8148042855751,-4.1296032653701955,1,-79,1,99.5,2,1
UAV1_1,1,52.81657825087622,-4.131395614679807,1,52,1,98.0,3,2
UAV2_2,1,52.81389996868679,-4.129814885083461,0,-37,1,98.0,0,4
UAV0_3,2,52.81621284323405,-4.1325408494475875,0,31,2,97.5,1,1
UAV1_4,2,52.81523109918494,-4.13303640339879,1,9,2,96.0,4,2
UAV2_5,2,52.8153736822771,-4.132489008282163,1,-55,2,96.0,3,5
UAV2_6,3,52.815142293660266,-4.130018952881357,0,-77,3,94.0,5,4
UAV0_7,4,52.816977651263926,-4.131141264436757,1,83,4,95.0,3,1
UAV0_8,5,52.81592427214348,-4.131461851570296,1,-23,5,93.0,4,2
UAV2_9,5,52.816207408476465,-4.132907267377115,1,28,5,91.5,4,4
UAV0_10,6,52.81673237378784,-4.134296429743928,1,-4,6,91.0,4,1
UAV1_11,7,52.817153803186805,-4.131791100431356,1,-5,7,92.0,4,2
UAV2_12,7,52.81755434001083,-4.1322995581461095,0,30,7,89.0,5,2
UAV2_13,8,52.81696434332047,-4.129952120842149,0,70,8,87.0,1,2
UAV2_14,10,52.816900086669214,-4.1312176946748185,0,-30,10,83.0,0,4
UAV1_15,11,52.817074482736686,-4.131169875386601,0,15,11,85.5,5,3
UAV1_16,12,52.815586801011065,-4.133257048318873,1,61,12,83.5,5,2
UAV2_17,12,52.81729513526563,-4.130681360241096,1,0,12,79.0,2,2
UAV1_18,13,52.81542299638025,-4.131224134989773,0,-28,13,81.5,0,1
UAV2_19,13,52.81612922699621,-4.1312677010560925,1,44,13,77.0,4,1
UAV1_20,14,52.81552782543517,-4.132625598122654,1,31,14,79.5,0,2
UAV2_21,14,52.816135878384415,-4.132728326169758,0,-27,14,75.0,0,1
UAV1_22,15,52.81574101740684,-4.1332709850237785,1,74,15,77.5,0,4
UAV2_23,15,52.81496124759306,-4.13157794865238,1,-22,15,73.0,1,4
UAV0_24,16,52.81587967664938,-4.1315083529518715,1,31,16,74.0,5,2
UAV2_25,16,52.81639803069627,-4.130763126857061,0,49,16,71.0,0,1
UAV2_26,17,52.8154684724088,-4.132979930752684,0,-73,17,69.0,2,1
UAV0_27,23,52.81645964666107,-4.13209150914078,1,26,23,60.0,3,4
UAV2_28,25,52.81605732105553,-4.132596233043231,1,19,25,57.5,4,4
UAV1_29,29,52.815310145966585,-4.131094217516224,1,-48,29,57.0,4,2
UAV2_30,31,52.814763340475714,-4.132923487216936,0,-45,31,45.5,0,4
UAV1_31,32,52.8154668450176,-4.132905646350929,1,-68,32,51.0,1,1
UAV2_32,32,52.8158388346533,-4.131549732039332,1,19,32,43.5,3,3
UAV1_33,33,52.817443133599504,-4.13311708531542,1,-70,33,49.0,3,2
UAV2_34,33,52.81631014544234,-4.132298272710198,1,-63,33,41.5,3,4
UAV1_35,34,52.81542118750844,-4.132154472685165,0,-31,34,47.0,0,2
