ID,source_time,lat,lon,source_spotted,track,takeoff_landing_time,battery,AoI,FLA
UAV0_0,1,52.81592807567157,-4.130911185986591,1,30,1,98.0,4,5
UAV1_1,1,52.81468142345375,-4.132626032309532,0,50,1,98.0,5,3
UAV2_2,1,52.81785105983816,-4.132273684309425,1,-62,1,98.0,3,3
UAV0_3,2,52.81605335124717,-4.1303461983240455,1,71,2,96.0,5,4
UAV1_4,2,52.81526055716686,-4.130649712945399,1,63,2,96.0,0,2
UAV2_5,2,52.81662516415117,-4.132679859150488,1,-76,2,96.0,3,1
UAV0_6,3,52.81651396156194,-4.129957423324702,0,63,3,94.0,1,4
UAV1_7,3,52.81555568994826,-4.131422957781994,1,-46,3,94.0,3,4
UAV0_8,4,52.816047533443815,-4.130310718823287,1,26,4,92.0,0,3
UAV1_9,4,52.81632231654856,-4.131840707524185,1,-84,4,92.0,0,1
UAV0_10,5,52.81506166542462,-4.130939268215015,1,6,5,90.0,1,1
UAV1_11,5,52.81552721512913,-4.133203555985073,1,-36,5,90.0,0,2
UAV0_12,6,52.81639726195822,-4.1324316247077775,1,33,6,88.0,0,3
UAV1_13,6,52.8160986205986,-4.132808654547639,0,-70,6,88.0,1,3
UAV0_14,7,52.81592040967908,-4.131211495735135,0,-16,7,86.0,5,2
UAV1_15,7,52.81792219610548,-4.130245674208109,0,1,7,86.0,4,5
UAV0_16,8,52.81622802493159,-4.130446268132077,1,-59,8,84.0,4,5
UAV1_17,8,52.815782470702075,-4.132454763915965,1,-58,8,84.0,3,3
UAV1_18,9,52.81519618477053,-4.132033985008753,0,-39,9,82.0,3,5
UAV1_19,39,52.81597795064487,-4.131701378532764,1,72,39,65.5,3,1
UAV1_20,40,52.81534302466168,-4.131388838814877,1,82,40,63.5,3,1
UAV1_21,41,52.816696468447944,-4.1299113137837375,0,67,41,61.5,3,3
UAV1_22,42,52.81906352772416,-4.132536739077467,0,25,42,59.5,0,1
UAV1_23,49,52.81720648111603,-4.131270226606558,1,-54,49,45.5,0,5
UAV1_24,50,52.81540665299527,-4.131915275352222,0,-84,50,43.5,3,5
UAV1_25,51,52.81599339927216,-4.132951601247507,0,-39,51,41.5,4,2
UAV1_26,52,52.81623557722765,-4.133799802537911,1,-7,52,39.5,3,1
UAV1_27,53,52.81640336102775,-4.131988127648331,0,64,53,37.5,4,1
UAV0_28,66,52.81625151938497,-4.131671772412603,0,81,66,49.0,0,4
UAV0_0,1,52.81672600366163,-4.131322332573874,1,-52,1,98.0,3,2
UAV1_1,1,52.81458726434971,-4.132929247332417,0,82,1,98.0,5,4
UAV2_2,1,52.81662314675479,-4.131683657914981,1,40,1,98.0,1,4
UAV0_3,2,52.81586508144759,-4.131273366452451,0,65,2,96.0,2,1
UAV1_4,2,52.815578284202495,-4.130949591144031,0,-61,2,96.0,2,5
UAV0_5,3,52.81541485373909,-4.1314242760270705,1,-65,3,94.0,2,4
UAV1_6,3,52.815613136807265,-4.130842912863643,0,-74,3,94.0,2,3
UAV0_7,4,52.81666405632247,-4.1315090193861215,1,-37,4,92.0,0,2
UAV1_8,4,52.817148698342095,-4.130896800468379,1,-1,4,92.0,1,2
UAV0_9,5,52.81582532859828,-4.131268407144332,1,66,5,90.0,2,2
UAV1_10,5,52.81666283552706,-4.133123018606233,0,-32,5,90.0,1,5
UAV0_11,6,52.815245867093545,-4.131846239899395,1,39,6,88.0,4,5
UAV1_12,6,52.815744840504735,-4.1303062521540745,1,-44,6,88.0,4,5
UAV0_13,7,52.81536267291009,-4.132377033860127,1,38,7,86.0,0,1
UAV1_14,7,52.81638563630267,-4.132166231036893,1,35,7,86.0,2,3
UAV1_15,8,52.81552765749597,-4.13188668756622,1,-84,8,84.0,4,2
UAV1_16,9,52.81611374571193,-4.131546746211876,1,-34,9,82.0,4,2
UAV1_17,10,52.81748401616477,-4.130758552741517,1,-90,10,80.0,3,2
UAV1_18,11,52.81670157009668,-4.132051954092918,1,55,11,78.0,4,5
UAV1_19,12,52.816763296931676,-4.130918345120375,0,-1,12,76.0,4,3
UAV1_20,13,52.815485197938855,-4.131651406524172,1,31,13,74.0,2,4
UAV1_21,14,52.81829723665112,-4.1307704234101905,1,51,14,72.0,1,5
UAV0_0,1,52.816067653328304,-4.129191954155148,1,72,1,98.0,1,3
UAV1_1,1,52.817105560772525,-4.1310422255787245,0,89,1,98.0,5,4
UAV2_2,1,52.81687081440453,-4.13261026662169,1,10,1,99.5,1,4
UAV1_3,2,52.813185326861074,-4.132382316880814,1,-75,2,96.0,5,3
UAV2_4,2,52.81447261230914,-4.131566210478582,0,69,2,97.5,5,2
UAV1_5,3,52.81459892829788,-4.131880433126406,0,-13,3,94.0,2,3
UAV2_6,3,52.81614369015726,-4.131677323470586,0,90,3,95.5,1,4
