episode,coverage,steps,active_uavs,total_spots,total_reward,efficiency,success,timestamp
10,0.0,0,3,0,0,0.0,False,2025-07-14T20:04:34.595667
20,0.0,0,3,0,0,0.0,False,2025-07-14T20:04:53.568926
30,0.0,0,3,0,0,0.0,False,2025-07-14T20:05:16.641338
40,0.0,0,3,0,0,0.0,False,2025-07-14T20:05:37.232299
50,0.0,0,3,0,0,0.0,False,2025-07-14T20:06:00.686692
60,0.0,0,3,0,0,0.0,False,2025-07-14T20:06:21.307000
70,0.0,0,3,0,0,0.0,False,2025-07-14T20:06:44.055197
80,0.0,0,3,0,0,0.0,False,2025-07-14T20:07:04.622244
90,0.0,0,3,0,0,0.0,False,2025-07-14T20:07:24.818688
100,0.0,0,3,0,0,0.0,False,2025-07-14T20:07:47.364514
